lexemeCurrentNode	lineno	token	valueIfNumber	parentNodeSymbol	isLeafNode(yes/no)	NodeSymbol
-----		1		MAIN		-----		ROOT		yes		mainFunction
_main		0		MAIN		-----		mainFunction		no		-----
[		0		SQO		-----		mainFunction		no		-----
]		0		SQC		-----		mainFunction		no		-----
-----		2		STRING		-----		mainFunction		yes		stmtsAndFunctionDefs
-----		2		STRING		-----		stmtsAndFunctionDefs		yes		stmtOrFunctionDef
-----		2		STRING		-----		stmtOrFunctionDef		yes		stmt
-----		2		STRING		-----		stmt		yes		declarationStmt
-----		2		STRING		-----		declarationStmt		yes		type
string		0		STRING		-----		type		no		-----
-----		2		ID		-----		declarationStmt		yes		var_list
str1		0		ID		-----		var_list		no		-----
-----		2		COMMA		-----		var_list		yes		more_ids
,		0		COMMA		-----		more_ids		no		-----
-----		2		ID		-----		more_ids		yes		var_list
str2		0		ID		-----		var_list		no		-----
-----		2		SEMICOLON		-----		var_list		yes		more_ids
;		0		SEMICOLON		-----		more_ids		no		-----
;		0		SEMICOLON		-----		declarationStmt		no		-----
-----		3		MATRIX		-----		stmtsAndFunctionDefs		yes		newstatements
-----		3		MATRIX		-----		newstatements		yes		stmtsAndFunctionDefs
-----		3		MATRIX		-----		stmtsAndFunctionDefs		yes		stmtOrFunctionDef
-----		3		MATRIX		-----		stmtOrFunctionDef		yes		stmt
-----		3		MATRIX		-----		stmt		yes		declarationStmt
-----		3		MATRIX		-----		declarationStmt		yes		type
matrix		0		MATRIX		-----		type		no		-----
-----		3		ID		-----		declarationStmt		yes		var_list
m1		0		ID		-----		var_list		no		-----
-----		3		SEMICOLON		-----		var_list		yes		more_ids
;		0		SEMICOLON		-----		more_ids		no		-----
;		0		SEMICOLON		-----		declarationStmt		no		-----
-----		4		ID		-----		stmtsAndFunctionDefs		yes		newstatements
-----		4		ID		-----		newstatements		yes		stmtsAndFunctionDefs
-----		4		ID		-----		stmtsAndFunctionDefs		yes		stmtOrFunctionDef
-----		4		ID		-----		stmtOrFunctionDef		yes		stmt
-----		4		ID		-----		stmt		yes		assignmentStmt_type1
-----		4		ID		-----		assignmentStmt_type1		yes		leftHandSide_singleVar
str1		0		ID		-----		leftHandSide_singleVar		no		-----
=		0		ASSIGNOP		-----		assignmentStmt_type1		no		-----
-----		4		STR		-----		assignmentStmt_type1		yes		rightHandSide_type1
-----		4		STR		-----		rightHandSide_type1		yes		arithmeticExpression
-----		4		STR		-----		arithmeticExpression		yes		arithmeticTerm
-----		4		STR		-----		arithmeticTerm		yes		factor
-----		4		STR		-----		factor		yes		var
"eradicate"		0		STR		-----		var		no		-----
-----		4		SEMICOLON		-----		arithmeticTerm		yes		newarithmeticTerm
;		0		SEMICOLON		-----		newarithmeticTerm		no		-----
-----		4		SEMICOLON		-----		arithmeticExpression		yes		newarithmeticExpression
;		0		SEMICOLON		-----		newarithmeticExpression		no		-----
;		0		SEMICOLON		-----		assignmentStmt_type1		no		-----
-----		5		ID		-----		stmtsAndFunctionDefs		yes		newstatements
-----		5		ID		-----		newstatements		yes		stmtsAndFunctionDefs
